data,codigo,simbolo,tipo,compra,venda
24072023,220,A,USD,"4,7451","4,7457"
25072023,220,A,USD,"4,749","4,7496"
26072023,220,A,USD,"4,7362","4,7368"
27072023,220,A,USD,"4,7196","4,7202"
28072023,220,A,USD,"4,7247","4,7253"
31072023,220,A,USD,"4,7409","4,7415"
1082023,220,A,USD,"4,7746","4,7752"
2082023,220,A,USD,"4,8077","4,8083"
3082023,220,A,USD,"4,8791","4,8797"
4082023,220,A,USD,"4,8603","4,8609"
7082023,220,A,USD,"4,9004","4,901"
8082023,220,A,USD,"4,9211","4,9217"
9082023,220,A,USD,"4,9009","4,9015"
10082023,220,A,USD,"4,8512","4,8518"
11082023,220,A,USD,"4,8912","4,8918"
14082023,220,A,USD,"4,9475","4,9481"
15082023,220,A,USD,"4,9806","4,9812"
16082023,220,A,USD,"4,9765","4,9772"
17082023,220,A,USD,"4,981","4,9816"
18082023,220,A,USD,"4,9718","4,9724"
21082023,220,A,USD,"4,9841","4,9847"
22082023,220,A,USD,"4,9425","4,9431"
23082023,220,A,USD,"4,8971","4,8977"
24082023,220,A,USD,"4,8742","4,8748"
25082023,220,A,USD,"4,8766","4,8772"
28082023,220,A,USD,"4,8933","4,8938"
29082023,220,A,USD,"4,87","4,8706"
30082023,220,A,USD,"4,8647","4,8653"
31082023,220,A,USD,"4,9213","4,9219"
1092023,220,A,USD,"4,9312","4,9318"
4092023,220,A,USD,"4,917","4,9176"
5092023,220,A,USD,"4,9699","4,9705"
6092023,220,A,USD,"4,9756","4,9762"
8092023,220,A,USD,"4,9829","4,9835"
11092023,220,A,USD,"4,936","4,9366"
12092023,220,A,USD,"4,9499","4,9505"
13092023,220,A,USD,"4,9165","4,9171"
14092023,220,A,USD,"4,8745","4,8751"
15092023,220,A,USD,"4,8683","4,8689"
18092023,220,A,USD,"4,8529","4,8535"
19092023,220,A,USD,"4,8569","4,8575"
20092023,220,A,USD,"4,8481","4,8487"
21092023,220,A,USD,"4,9223","4,9229"
22092023,220,A,USD,"4,9125","4,9131"
25092023,220,A,USD,"4,96","4,9606"
